[2026-09-12 01:03:51 TP0 EP0] Decode batch, #running-req: 1, #full token: 512, full token usage: 0.00, #swa token: 512, swa token usage: 0.00, accept len: 2.97, accept rate: 0.39, cuda graph: True, gen throughput (token/s): 1.74, #queue-req: 0
[2026-09-12 01:03:57 TP0 EP0] Decode batch, #running-req: 1, #full token: 256, full token usage: 0.00, #swa token: 256, swa token usage: 0.00, accept len: 1.84, accept rate: 0.17, cuda graph: True, gen throughput (token/s): 94.28, #queue-req: 0
[2026-09-12 01:03:59 TP0 EP0] Decode batch, #running-req: 8, #full token: 2048, full token usage: 0.00, #swa token: 2048, swa token usage: 0.01, accept len: 3.88, accept rate: 0.58, cuda graph: True, gen throughput (token/s): 181.26, #queue-req: 0
[2026-09-12 01:04:03 TP0 EP0] Decode batch, #running-req: 8, #full token: 2048, full token usage: 0.00, #swa token: 2048, swa token usage: 0.01, accept len: 4.79, accept rate: 0.76, cuda graph: True, gen throughput (token/s): 413.51, #queue-req: 0
[2026-09-12 01:04:07 TP0 EP0] Decode batch, #running-req: 8, #full token: 2048, full token usage: 0.00, #swa token: 2048, swa token usage: 0.01, accept len: 2.64, accept rate: 0.33, cuda graph: True, gen throughput (token/s): 216.52, #queue-req: 0
[2026-09-12 01:04:10 TP0 EP0] Decode batch, #running-req: 8, #full token: 2048, full token usage: 0.00, #swa token: 2048, swa token usage: 0.01, accept len: 2.03, accept rate: 0.21, cuda graph: True, gen throughput (token/s): 179.01, #queue-req: 0
[2026-09-12 01:04:13 TP0 EP0] Decode batch, #running-req: 8, #full token: 2048, full token usage: 0.00, #swa token: 2048, swa token usage: 0.01, accept len: 2.29, accept rate: 0.26, cuda graph: True, gen throughput (token/s): 158.13, #queue-req: 0
[2026-09-12 01:04:17 TP0 EP0] Decode batch, #running-req: 7, #full token: 1792, full token usage: 0.00, #swa token: 1792, swa token usage: 0.01, accept len: 2.16, accept rate: 0.23, cuda graph: True, gen throughput (token/s): 194.21, #queue-req: 0
[2026-09-12 01:04:20 TP0 EP0] Decode batch, #running-req: 8, #full token: 2048, full token usage: 0.00, #swa token: 2048, swa token usage: 0.01, accept len: 4.37, accept rate: 0.67, cuda graph: True, gen throughput (token/s): 365.07, #queue-req: 0
[2026-09-12 01:04:24 TP0 EP0] Decode batch, #running-req: 8, #full token: 2048, full token usage: 0.00, #swa token: 2048, swa token usage: 0.01, accept len: 4.45, accept rate: 0.69, cuda graph: True, gen throughput (token/s): 352.98, #queue-req: 0
[2026-09-12 01:04:28 TP0 EP0] Decode batch, #running-req: 8, #full token: 4096, full token usage: 0.00, #swa token: 4096, swa token usage: 0.01, accept len: 3.25, accept rate: 0.45, cuda graph: True, gen throughput (token/s): 220.76, #queue-req: 0
