[2026-09-12 00:38:57 TP0 EP0] Decode batch, #running-req: 1, #full token: 0, full token usage: 0.00, #swa token: 0, swa token usage: 0.00, accept len: 3.06, accept rate: 0.41, cuda graph: True, gen throughput (token/s): 2.61, #queue-req: 0
[2026-09-12 00:39:01 TP0 EP0] Decode batch, #running-req: 1, #full token: 256, full token usage: 0.00, #swa token: 256, swa token usage: 0.00, accept len: 2.08, accept rate: 0.22, cuda graph: True, gen throughput (token/s): 83.65, #queue-req: 0
[2026-09-12 00:39:05 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.05, accept len: 4.67, accept rate: 0.73, cuda graph: True, gen throughput (token/s): 475.42, #queue-req: 0
[2026-09-12 00:39:11 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.05, accept len: 4.73, accept rate: 0.75, cuda graph: True, gen throughput (token/s): 874.70, #queue-req: 0
[2026-09-12 00:39:18 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.05, accept len: 2.70, accept rate: 0.34, cuda graph: True, gen throughput (token/s): 455.11, #queue-req: 0
[2026-09-12 00:39:24 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.05, accept len: 1.97, accept rate: 0.19, cuda graph: True, gen throughput (token/s): 376.84, #queue-req: 0
[2026-09-12 00:39:31 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.05, accept len: 2.04, accept rate: 0.21, cuda graph: True, gen throughput (token/s): 263.99, #queue-req: 0
[2026-09-12 00:39:37 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.05, accept len: 2.21, accept rate: 0.24, cuda graph: True, gen throughput (token/s): 453.03, #queue-req: 0
[2026-09-12 00:39:43 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.05, accept len: 3.91, accept rate: 0.58, cuda graph: True, gen throughput (token/s): 599.53, #queue-req: 0
[2026-09-12 00:39:50 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.05, accept len: 4.67, accept rate: 0.73, cuda graph: True, gen throughput (token/s): 775.94, #queue-req: 0
[2026-09-12 00:39:57 TP0 EP0] Decode batch, #running-req: 19, #full token: 4096, full token usage: 0.00, #swa token: 4096, swa token usage: 0.02, accept len: 3.71, accept rate: 0.54, cuda graph: True, gen throughput (token/s): 648.02, #queue-req: 0
